127.0.0.1 - - [21/May/2024:18:57:50 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:52 +0200] "GET /GeekFactory2/ HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:52 +0200] "GET /GeekFactory2/css/intro-style.css HTTP/1.1" 200 2029
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:52 +0200] "GET /GeekFactory2/img/icon.png HTTP/1.1" 200 27283
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/index.jsp HTTP/1.1" 200 4770
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/css/style.css HTTP/1.1" 200 3340
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/css/header.css HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/icone/top-ico.png HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/logotswww.png HTTP/1.1" 200 8730
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/icone/carello-ico.png HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/icone/home-ico.png HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/icone/account-ico.png HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/script/jquery.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/background.jpg HTTP/1.1" 200 1153691
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/cat1x.jpg HTTP/1.1" 200 194495
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/css/footer.css HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/cat2x.jpg HTTP/1.1" 200 90914
0:0:0:0:0:0:0:1 - - [21/May/2024:18:57:59 +0200] "GET /GeekFactory2/img/cat3x.jpg HTTP/1.1" 200 146137
0:0:0:0:0:0:0:1 - - [21/May/2024:18:58:10 +0200] "GET /GeekFactory2/loginPage.jsp HTTP/1.1" 200 1401
