127.0.0.1 - - [29/Jun/2024:13:21:33 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:34 +0200] "GET /GGJewelry/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/catalogo?mode=home HTTP/1.1" 200 19251
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/css/vendor/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/css/vendor/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/css/plugins.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/vendor/modernizr-2.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/new-product-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/css/style.css HTTP/1.1" 404 10041
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/new-product-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/about-img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/vendor/jquery-migrate-1.4.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/vendor/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/vendor/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/vendor/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/css/style.css HTTP/1.1" 404 10041
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/air-plane.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/js/addedToCart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/support.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/money-back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/cog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/testi_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/payment.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/title-line.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/footer-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/slide-img-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/img/slide-img-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:36 +0200] "GET /GGJewelry/assets/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2024:13:21:37 +0200] "GET /favicon.ico HTTP/1.1" 404 762
