0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:15 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/icona_catalogo.png HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:45 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/AreaUtente HTTP/1.1" 500 1320
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:45 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:48 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ProdottiView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:42:48 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Controllo HTTP/1.1" 200 9821
0:0:0:0:0:0:0:1 - - [08/May/2024:13:43:50 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:43:50 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/PageLogin.jsp HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:12 +0200] "POST /Esercizio_Ferrara_Schettino_Ceccarelli/Login HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:13 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ControlloAdmin HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:35 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ControlloAdmin?azione=controllo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:35 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Amministratore HTTP/1.1" 200 6925
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:42 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ControlloAdmin?azione=ordiniNominativo HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:54 +0200] "POST /Esercizio_Ferrara_Schettino_Ceccarelli/CercaCliente HTTP/1.1" 200 712
0:0:0:0:0:0:0:1 - - [08/May/2024:13:59:59 +0200] "POST /Esercizio_Ferrara_Schettino_Ceccarelli/CercaCliente HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:06 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ControlloAdmin?azione=ordiniData HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:23 +0200] "POST /Esercizio_Ferrara_Schettino_Ceccarelli/CercaClienteData HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:50 +0200] "POST /Esercizio_Ferrara_Schettino_Ceccarelli/Login HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:50 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/ProdottiView.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:50 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Controllo HTTP/1.1" 200 9821
0:0:0:0:0:0:0:1 - - [08/May/2024:14:00:54 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Controllo?action=aggiungi&id=2 HTTP/1.1" 500 3961
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:00 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Ordini?action=effettuaPagamento HTTP/1.1" 200 8873
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:01 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/css/Checkout.css HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:01 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/image/icona_checkout.png HTTP/1.1" 200 11695
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:33 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Pagamento?cardnumber=1111-2222-3333-4444&cvv=567&sameadr=vecchioIndirizzo HTTP/1.1" 200 3311
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:42 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Ordini?action=ordiniEffettuati HTTP/1.1" 200 3077
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:46 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/InformazioniProdotto?id=6 HTTP/1.1" 200 3264
0:0:0:0:0:0:0:1 - - [08/May/2024:14:01:55 +0200] "GET /Esercizio_Ferrara_Schettino_Ceccarelli/Ordini?action=ordiniEffettuati HTTP/1.1" 200 3077
