127.0.0.1 - - [11/May/2024:12:54:36 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:37 +0200] "GET /GGJewelry/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:37 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/ HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/css/structure.css HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/images/logo.png HTTP/1.1" 200 181796
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/styles/structure.css HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 36761535
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/Proxima-Nova-Regular.woff HTTP/1.1" 200 55956
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 28607
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:39 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 34303935
0:0:0:0:0:0:0:1 - - [11/May/2024:12:54:40 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:39 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:39 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 35221439
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:39 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:39 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 16904127
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/ HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/css/structure.css HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/styles/structure.css HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/images/logo.png HTTP/1.1" 200 181796
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 36761535
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/Proxima-Nova-Regular.woff HTTP/1.1" 200 55956
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 28607
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:42 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 33615807
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:43 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:43 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 25554879
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:48 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:56:48 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 11235263
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "GET /GGJewelry/ HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "GET /GGJewelry/css/structure.css HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "GET /GGJewelry/styles/structure.css HTTP/1.1" 200 2594
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "GET /GGJewelry/images/logo.png HTTP/1.1" 200 184720
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 36761535
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:03 +0200] "-" 400 -
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:04 +0200] "GET /GGJewelry/Proxima-Nova-Regular.woff HTTP/1.1" 200 55956
0:0:0:0:0:0:0:1 - - [11/May/2024:12:57:04 +0200] "GET /GGJewelry/videos/diamonds.mp4 HTTP/1.1" 206 28607
